sysid,sysname,year,assigned_month,yr_mo_d,sum_min,num_trip,sysname_alt
1,"Blue Bikes (Boston, MA)",2019,1,1/2/2019 0:00,32187,2623,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,1/3/2019 0:00,36632,2993,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,1/4/2019 0:00,43345,3379,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,1/5/2019 0:00,9177,782,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,1/6/2019 0:00,21476,1620,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,1/7/2019 0:00,32297,2858,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,1/8/2019 0:00,34698,2970,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,1/9/2019 0:00,40676,3375,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,1/10/2019 0:00,39484,3320,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,1/11/2019 0:00,30072,2636,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,1/12/2019 0:00,13959,1227,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,1/13/2019 0:00,13246,1157,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,1/14/2019 0:00,33418,3000,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,1/15/2019 0:00,38170,3291,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,1/16/2019 0:00,40472,3552,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,1/17/2019 0:00,34999,3136,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,1/18/2019 0:00,40791,3271,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,1/19/2019 0:00,17688,1380,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,1/21/2019 0:00,2556,151,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,1/22/2019 0:00,13923,932,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,1/23/2019 0:00,23469,1799,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)",2019,1,1/24/2019 0:00,17562,1486,"Boston Metro, MA (Blue Bikes)"
